year,program_code,program_name,organizer_name,organizer_name_normalized,agenda_captured,papers_total,source_url
2024,ED,Economics of Education,Caroline M. Hoxby,caroline m hoxby,1,8,https://conference.nber.org/agenda/simple_printable?conf_id=SI24ED
2024,EH,Economics of Health,Christopher S. Carpenter,christopher s carpenter,1,16,https://conference.nber.org/agenda/simple_printable?conf_id=SI24EH
2024,EH,Economics of Health,Amy Finkelstein,amy finkelstein,1,16,https://conference.nber.org/agenda/simple_printable?conf_id=SI24EH
2024,EH,Economics of Health,Joshua D. Gottlieb,joshua d gottlieb,1,16,https://conference.nber.org/agenda/simple_printable?conf_id=SI24EH
2024,EH,Economics of Health,Timothy Layton,timothy layton,1,16,https://conference.nber.org/agenda/simple_printable?conf_id=SI24EH
2024,EH,Economics of Health,Mario Macis,mario macis,1,16,https://conference.nber.org/agenda/simple_printable?conf_id=SI24EH
2024,EH,Economics of Health,Analisa Packham,analisa packham,1,16,https://conference.nber.org/agenda/simple_printable?conf_id=SI24EH
2024,EH,Economics of Health,Maria Polyakova,maria polyakova,1,16,https://conference.nber.org/agenda/simple_printable?conf_id=SI24EH
2024,EH,Economics of Health,Barton Willage,barton willage,1,16,https://conference.nber.org/agenda/simple_printable?conf_id=SI24EH
2024,PESS,Economics of Social Security,Manasi Deshpande,manasi deshpande,1,7,https://conference.nber.org/agenda/simple_printable?conf_id=SI24ESS
2024,PESS,Economics of Social Security,James M. Poterba,james m poterba,1,7,https://conference.nber.org/agenda/simple_printable?conf_id=SI24ESS
2024,ENT,Entrepreneurship,Yael Hochberg,yael hochberg,1,8,https://conference.nber.org/agenda/simple_printable?conf_id=SI24PRENT
2024,ENT,Entrepreneurship,Josh Lerner,josh lerner,1,8,https://conference.nber.org/agenda/simple_printable?conf_id=SI24PRENT
2024,ENT,Entrepreneurship,David T. Robinson,david t robinson,1,8,https://conference.nber.org/agenda/simple_printable?conf_id=SI24PRENT
2024,EEE,Environmental & Energy Economics,Douglas Almond,douglas almond,1,20,https://conference.nber.org/agenda/simple_printable?conf_id=SI24EEE
