year,program_code,conference_id,http_status,agenda_captured,papers_parsed,html_bytes,source_url
2023,EFMB,SI23EFMB,200,1,6,9107,https://conference.nber.org/agenda/simple_printable?conf_id=SI23EFMB
2023,MEFM,SI23MEFM,200,1,9,14811,https://conference.nber.org/agenda/simple_printable?conf_id=SI23MEFM
2023,PRMP,SI23PRMP,200,1,7,10340,https://conference.nber.org/agenda/simple_printable?conf_id=SI23PRMP
2023,EFMM,SI23EFMM,200,1,16,21630,https://conference.nber.org/agenda/simple_printable?conf_id=SI23EFMM
2023,ME,SI23ME,200,1,16,20480,https://conference.nber.org/agenda/simple_printable?conf_id=SI23ME
2023,PPL,SI23PPL,200,1,15,17865,https://conference.nber.org/agenda/simple_printable?conf_id=SI23PPL
2023,POL,SI23POL,200,1,12,18168,https://conference.nber.org/agenda/simple_printable?conf_id=SI23POL
2023,PE,SI23PE,200,1,11,15289,https://conference.nber.org/agenda/simple_printable?conf_id=SI23PE
2023,REAL,SI23REAL,200,1,17,21121,https://conference.nber.org/agenda/simple_printable?conf_id=SI23REAL
2023,RISK,SI23RISK,200,1,8,14938,https://conference.nber.org/agenda/simple_printable?conf_id=SI23RISK
2023,SIP,SI23SF,200,1,10,18009,https://conference.nber.org/agenda/simple_printable?conf_id=SI23SF
2023,URB,SI23URB,200,1,24,28361,https://conference.nber.org/agenda/simple_printable?conf_id=SI23URB
2024,EFMPL,SI24EFMPL,200,1,18,23572,https://conference.nber.org/agenda/simple_printable?conf_id=SI24EFMPL
2024,AG,SI24AG,200,1,12,20631,https://conference.nber.org/agenda/simple_printable?conf_id=SI24AG
2024,AP,SI24AP,200,1,16,22060,https://conference.nber.org/agenda/simple_printable?conf_id=SI24AP
2024,EFBEM,SI24EFBEM,200,1,6,8702,https://conference.nber.org/agenda/simple_printable?conf_id=SI24EFBEM
2024,HPC,SI24HPC,200,1,9,13838,https://conference.nber.org/agenda/simple_printable?conf_id=SI24HPC
2024,CRIWPC,SI24CRIWPC,400,0,0,526,https://conference.nber.org/agenda/simple_printable?conf_id=SI24CRIWPC
2024,EFEL,SI24EFEL,200,1,12,17177,https://conference.nber.org/agenda/simple_printable?conf_id=SI24EFEL
2024,CH,SI24CH,200,1,22,25584,https://conference.nber.org/agenda/simple_printable?conf_id=SI24CH
2024,CRIW,SI24PRCR,200,1,18,26101,https://conference.nber.org/agenda/simple_printable?conf_id=SI24PRCR
2024,CF,SI24CF,200,1,12,17059,https://conference.nber.org/agenda/simple_printable?conf_id=SI24CF
2024,DEV,SI24DEV,200,1,19,21970,https://conference.nber.org/agenda/simple_printable?conf_id=SI24DEV
2024,DAE,SI24DAE,200,1,31,37827,https://conference.nber.org/agenda/simple_printable?conf_id=SI24DAE
2024,PRIT,SI24PRIT,200,1,24,32763,https://conference.nber.org/agenda/simple_printable?conf_id=SI24PRIT
2024,DEM,SI24EFSF,200,1,8,10662,https://conference.nber.org/agenda/simple_printable?conf_id=SI24EFSF
2024,EFEG,EFGs24,200,1,6,9647,https://conference.nber.org/agenda/simple_printable?conf_id=EFGs24
2024,EFG,SI24EFEG,200,1,12,18294,https://conference.nber.org/agenda/simple_printable?conf_id=SI24EFEG
2024,CRI,SI24CRI,200,1,12,16902,https://conference.nber.org/agenda/simple_printable?conf_id=SI24CRI
2024,ED,SI24ED,200,1,8,10053,https://conference.nber.org/agenda/simple_printable?conf_id=SI24ED
2024,EH,SI24EH,200,1,16,19665,https://conference.nber.org/agenda/simple_printable?conf_id=SI24EH
2024,PESS,SI24ESS,200,1,7,9237,https://conference.nber.org/agenda/simple_printable?conf_id=SI24ESS
2024,ENT,SI24PRENT,200,1,8,13403,https://conference.nber.org/agenda/simple_printable?conf_id=SI24PRENT
2024,EEE,SI24EEE,200,1,20,24652,https://conference.nber.org/agenda/simple_printable?conf_id=SI24EEE
2024,EFFE,SI24EFFE,200,1,16,21760,https://conference.nber.org/agenda/simple_printable?conf_id=SI24EFFE
